Company Name,Ticker Symbol
DHENU BUILDCON INFRA LTD.,DHENUBUILD
ASI Industries Ltd,ASIIL
SAGAR CEMENTS LTD.-$,SAGCEM
DECCAN CEMENTS LTD.-$,DECCANCE
MANGALAM CEMENT LTD.,MANGLMCEM
NCL INDUSTRIES LTD.-$,NCLIND
SAURASHTRA CEMENT LTD.,SAURASHCEM
SHREE DIGVIJAY CEMENT CO.LTD.-$,SHREDIGCEM
BOMBAY POTTERIES & TILES LTD.,BOMBPOT
Borosil Renewables Ltd,BORORENEW
Lerthai Finance Ltd,LERTHAI
RAASI REFRACTORIES LTD.-$,RASSIREF
TRIVENI GLASS LTD.-$,TRIVENIGQ
NILACHAL REFRACTORIES LTD.,NILACHAL
Andhra Paper Ltd,ANDHRAPAP
BALKRISHNA INDUSTRIES LTD.-$,BALKRISIND
ORIENT PAPER & INDUSTRIES LTD.,ORIENTPPR
CITADEL REALTY AND DEVELOPERS LTD.,CITADEL
ROLLATAINERS LTD.,ROLLT
SESHASAYEE PAPER & BOARDS LTD.,SESHAPAPER
SOLID CONTAINERS LTD.,SOLIDCO
SHREE BHAWANI PAPER MILLS LTD.,SHBHAWPA
Nath Industries Ltd,NATHIND
VAPI PAPER MILLS LTD.,VAPIPPR
SINTEX INDUSTRIES LTD.,SINTEX
DCM LTD.,DCM
GAEKWAR MILLS LTD.,ZGAEKWAR
FORBES & COMPANY LTD.-$,FORBESCO
H.P.COTTON TEXTILE MILLS LTD.,HPCOTTON
UNITED INTERACTIVE LTD.,UNITEDINT
KESORAM INDUSTRIES LTD.,KESORAMIND
LAKSHMI MILLS COMPANY LTD.-$,LAKSHMIMIL
VARDHMAN TEXTILES LTD.,VTL
PENINSULA LAND LTD.,PENINLAND
PASUPATI SPG.& WVG.MILLS LTD.,PASUSPG
The Phoenix Mills Ltd,PHOENIXLTD
MARATHON NEXTGEN REALTY LTD.,MARATHON
RAJA BAHADUR INTERNATIONAL LTD.,RAJABAH
RELIANCE CHEMOTEX INDUSTRIES LTD.-$,RELCHEMQ
RUBY MILLS LTD.,RUBYMILLS
SIMPLEX REALTY LTD.,SIMPLXREA
SWAN ENERGY LTD.,SWANENERGY
VICTORIA MILLS LTD.,VICTMILL
S.V.TRADING & AGENCIES LTD.,ZSVTRADI
SVARAJ TRADING & AGENCIES LTD.,ZSVARAJT
SHREE SALASAR INVESTMENT LTD.,SALSAIN
INDSOYA LTD.,INDSOYA
Zodiac Ventures Limited,ZODIACVEN
VEER ENERGY & INFRASTRUCTURE LTD.,VEERENRGY
SW Investments Ltd,SW1
Tilak Ventures Ltd,TILAK
K K Fincorp Limited,KKFIN
UNIJOLLY INVESTMENTS CO.LTD.,UNIJOLL
Wagend Infra Venture Limited,WAGEND
ELCID INVESTMENTS LTD.,ELCIDIN
HEALTHY INVESTMENTS LTD.,HEALINV
SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,SAHARA
SHREENATH INVESTMENTS CO.LTD.,SHRENTI
BANSWARA SYNTEX LTD.-$,BANSWRAS
MODELLA WOOLLENS LTD.,MODWOOL
MODIPON LTD.,MODIPON
SHRI DINESH MILLS LTD.-$,SHRIDINE
SRF LTD.,SRF
SIYARAM SILK MILLS LTD.-$,SIYSIL
SWADESHI POLYTEX LTD.,SWADPOL
SHREE RAJASTHAN SYNTEX LTD.-$,SHRAJSYNQ
SHREE MANUFACTURING CO.LTD.,SHRMFGC
SATYAM SILK MILLS LTD.,ZSATYASL
BHARAT BIJLEE LTD.-$,BBL
ELPRO INTERNATIONAL LTD.,ELPROINTL
EMCO LTD.-$,EMCO
GEE LTD.,GEE
HIND RECTIFIERS LTD.,HIRECT
INDO-NATIONAL LTD.,NIPPOBATRY
ZENSAR TECHNOLOGIES LTD.,ZENSARTECH
JYOTI LTD.-$,JYOTI
JSL INDUSTRIES LTD.,JSLINDL
KAYCEE INDUSTRIES LTD.,KAYCEEI
INDOKEM LTD.,INDOKEM
PANASONIC ENERGY INDIA COMPANY LTD.-$,PANAENERG
NELCO LTD.,NELCO
PERMANENT MAGNETS LTD.-$,PERMAGN
HIGH ENERGY BATTERIES (INDIA) LTD.,HIGHENE
STANDARD BATTERIES LTD.,STDBAT
UNIVERSAL CABLES LTD.,UNIVCABLES
W.S.INDUSTRIES (INDIA) LTD.-$,WSIND
DELTON CABLES LTD.,DLTNCBL
LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,LAKSELEC
Modulex Construction Technologies Ltd,MODULEX
Delta Manufacturing Ltd,DELTAMAGNT
Confidence Finance And Trading Limited,CONFINT
Ravindra Energy Ltd,RELTD
G.D.TRADING & AGENCIES LTD.,GDTRAGN
MULTIPURPOSE TRADING & AGENCIES LTD.,ZMULTIPU
RIDHI SYNTHETICS LTD.,RIDHISYN
SOFTBPO GLOBAL SERVICES LTD.,SOFTBPO
Nyssa Corporation Limited,NYSSACORP
Flomic Global Logistics Ltd,FLOMIC
Krishna Ventures Limited,KRISHNA
GANESH HOLDINGS LTD.,GANHOLD
SJ CORPORATION LTD.,SJCORP
UNI ABEX ALLOY PRODUCTS LTD.,UNIABEXAL
SARDA ENERGY & MINERALS LTD.-$,SARDAEN
BHAGWATI AUTOCAST LTD.,BGWTATO
GALADA POWER & TELECOMMUNICATION LTD.,GALADA
STEEL STRIPS LTD.,STRIPMT
INDIAN BRIGHT STEEL CO.LTD.,IBRIGST
INDIAN HUME PIPE CO.LTD.,INDIANHUME
INDIAN LINK CHAIN MANUFACTURES LTD.,INLCM
INVESTMENT & PRECISION CASTINGS LTD.,INVPRECQ
INFORMED TECHNOLOGIES INDIA LTD.,INFORTEC
KAIRA CAN CO.LTD.,KAIRA
ORIENT ABRASIVES LTD.-$,ORIENTABRA
NATIONAL STANDARD (INDIA) LTD.,NATIONSTD
Duncan Engineering Ltd-$,DUNCANENG
SANDUR MANGANESE & IRON ORES LTD.,SANDUMA
STOVEC INDUSTRIES LTD.,STOVACQ
TAYO ROLLS LTD.-$,TATAYODOGA
TINPLATE COMPANY OF INDIA LTD.,TINPLATE
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG
WELCAST STEELS LTD.,ZWELCAST
WESTERN MINISTIL LTD.,WMINIMT
AUTOMOTIVE AXLES LTD.,AUTOAXLES
AUTOMOBILE CORPORATION OF GOA LTD.-$,ACGL
SETCO AUTOMOTIVE LTD.,SETCO
SCOOTERS INDIA LTD.,SCOOTER
TALBROS AUTOMOTIVE COMPONENTS LTD.,TALBROAUTO
Z.F.STEERING GEAR (INDIA) LTD.-$,ZFSTEERING
SML ISUZU LIMITED,SMLISUZU
TIL LTD.,TIL
EICHER MOTORS LTD.,EICHERMOT
JAINEX AAMCOL LTD.,JAINEX
ALFRED HERBERT (INDIA) LTD.,ALFREDHE
Veljan Denison Limited,VELJAN
DYNAMATIC TECHNOLOGIES LTD.-$,DYNAMATECH
G.G.DANDEKAR MACHINE WORKS LTD.,GGDANDE
GMM PFAUDLER LTD.,GMM
KIRLOSKAR PNEUMATIC CO.LTD.,KIRLPNU
Tulive Developers Limited,TULIVE
KPT Industries Ltd,KPT
LAKSHMI AUTOMATIC LOOM WORKS LTD.,LXMIATO
LYNX MACHINERY & COMMERCIALS LTD.,LYNMC
MANUGRAPH INDIA LTD.-$,MANUGRAPH
Mirch Technologies (India) Ltd,MIRCH
MONOTYPE INDIA LTD.,MONOT
NESCO LTD.,NESCO
INTEGRA ENGINEERING INDIA LTD.,INTEGRAEN
REVATHI EQUIPMENT LTD.-$,REVATHI
TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,TEXINFRA
WENDT (INDIA) LTD.,WENDT
SINDU VALLEY TECHNOLOGIES LTD.,SINDUVA
RESPONSIVE INDUSTRIES LTD.,RESPONIND
SHYAMKAMAL INVESTMENTS LTD.,SHYMINV
MAHARASHTRA CORPORATION LTD.,MAHACORP
DOLAT INVESTMENTS LTD.,DOLAT
WESTLIFE DEVELOPMENT LTD.,WESTLIFE
ZEE ENTERTAINMENT ENTERPRISES LTD.,ZEEL
Goldcrest Corporation Limited,GOLDCORP
KOVALAM INVESTMENT & TRADING CO.LTD.,ZKOVALIN
SVP GLOBAL VENTURES LTD.,SVPGLOB
MULTIPLUS HOLDINGS LTD.,MULTIIN
